ID do pacote,N.º Rota,Parada,Ponto,Data de Inbound,Altura,Largura,Comprimento,Localização do pacote,Detalhe do pacote
46503642689,Y4_AM100,302,A,,12,7,17,Caminho para a estação,
46507345770,Y4_AM100,302,A,,18,14,24,Caminho para a estação,
46509480699,Y4_AM100,302,A,,25,15,29,Caminho para a estação,
46511750274,Y4_AM100,302,A,,33,23,34,Caminho para a estação,
46481770235,Y4_AM100,303,A,,7,7,13,Caminho para a estação,
46499410960,Y4_AM100,303,A,,22,17,28,Caminho para a estação,
46482737437,Y4_AM100,304,A,,41,35,56,Caminho para a estação,
46509401143,Y4_AM100,307,A,,26,16,30,Caminho para a estação,
46509591162,Y4_AM100,307,A,,12,4,16,Caminho para a estação,
46471102895,Y4_AM100,309,A,,48,32,61,Caminho para a estação,
46503610793,Y4_AM100,313,A,,18,6,19,Caminho para a estação,
46490176968,Y5_AM100,4,A,,21,20,20,Caminho para a estação,
46495927278,Y5_AM100,17,A,,33,5,28,Caminho para a estação,
46489272041,Y5_AM100,88,A,,15,7,22,Caminho para a estação,
46491995356,Y5_AM100,92,A,,16,5,11,Caminho para a estação,
46460876213,Y5_AM100,107,A,,32,8,31,Caminho para a estação,
46479486615,Y5_AM100,117,A,,14,6,30,Caminho para a estação,
46401276257,Y5_AM100,152,A,,29,10,28,Caminho para a estação,
46463454540,Y5_AM100,176,A,,15,9,27,Caminho para a estação,
46495575094,Y5_AM100,186,A,,49,9,35,Caminho para a estação,
46477091404,Y5_AM100,192,A,,37,23,25,Caminho para a estação,
46465406236,Y5_AM100,221,A,,37,14,28,Caminho para a estação,
46491150670,Y5_AM100,237,A,,11,8,26,Caminho para a estação,
46496250884,Y5_AM100,245,A,,18,2,13,Caminho para a estação,
46492099378,Y5_AM100,263,A,,20,8,18,Caminho para a estação,
46489193872,Y5_AM100,281,A,,32,12,35,Caminho para a estação,
46469201684,Y5_AM100,301,A,,27,11,12,Caminho para a estação,
46491698113,Y5_AM100,361,A,,19,10,13,Caminho para a estação,
46495591170,Y5_AM100,366,A,,36,6,18,Caminho para a estação,
46485839862,Y5_AM100,399,A,,21,9,18,Caminho para a estação,
46472134157,Y5_AM100,439,A,,16,12,32,Caminho para a estação,
46491770095,Y5_AM100,448,B,,13,4,16,Caminho para a estação,
46492785773,Y5_AM100,456,A,,12,5,20,Caminho para a estação,
46495331965,Y5_AM100,501,A,,20,3,13,Caminho para a estação,
46490175572,Y5_AM100,518,A,,24,7,24,Caminho para a estação,
46491071240,Y5_AM100,544,A,,53,6,24,Caminho para a estação,
46490666417,Y5_AM100,554,A,,19,5,13,Caminho para a estação,
46490211871,Y5_AM100,618,A,,28,2,9,Caminho para a estação,
46496801787,Y5_AM100,636,A,,18,8,21,Caminho para a estação,
46506534911,Y5_AM100,643,A,,26,22,31,Caminho para a estação,
46472786121,Y5_AM100,660,A,,29,10,21,Caminho para a estação,
46505219704,Y5_AM100,663,A,,24,6,25,Caminho para a estação,
46475282891,Y5_AM100,705,A,,19,7,17,Caminho para a estação,
46493227306,Y5_AM100,716,A,,21,13,36,Caminho para a estação,
46501517140,Y5_AM100,724,A,,11,5,12,Caminho para a estação,
46495305055,Y5_AM100,733,A,,12,7,20,Caminho para a estação,
46487316243,Y5_AM100,776,A,,19,2,10,Caminho para a estação,
46477072716,Y5_AM100,787,A,,5,10,10,Caminho para a estação,
46459493660,Y5_AM100,797,A,,40,13,35,Caminho para a estação,
46463502146,Y5_AM100,803,A,,36,12,30,Caminho para a estação,
46464705300,Y5_AM100,806,A,,34,6,18,Caminho para a estação,
46495623514,Y5_AM100,828,A,,15,3,17,Caminho para a estação,
46475706212,Y5_AM100,855,A,,59,9,54,Caminho para a estação,
46479886866,Y5_AM100,859,A,,35,26,30,Caminho para a estação,
46492509938,Y5_AM100,892,A,,13,11,17,Caminho para a estação,
46480838642,Y5_AM100,905,A,,50,16,50,Caminho para a estação,
46492604792,Y5_AM100,906,A,,31,11,22,Caminho para a estação,
46463044990,Y5_AM100,934,A,,55,17,22,Caminho para a estação,
46466848411,Y5_AM100,962,A,,14,3,23,Caminho para a estação,
46462808268,Y5_AM100,1001,A,,10,8,17,Caminho para a estação,
46479972519,Y5_AM100,1011,A,,18,14,16,Caminho para a estação,
46466911103,Y5_AM100,1012,A,,22,9,20,Caminho para a estação,
